id,name,team,pos,game,points,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,performance,ball_handling,b_strength,b_weakness,height_m,weight_kg,age
40,Nicolas Batum,LAC,PF,15,6,22,2,4,0.5,0,0,0.05,1,3,0.46,1,3,4,1,2,1,0,1,6,high,1.0,tpp,pFouls,2.03,104.3,34.0
40,Nicolas Batum,LAC,PF,15,6,22,2,4,0.5,0,0,0.05,1,3,0.46,1,3,4,1,2,1,0,1,6,high,1.0,tpp,pFouls,2.03,104.3,34.0
75,Jaylen Brown,BOS,SG,19,21,33,8,17,0.47,3,4,0.66,2,7,0.35,0,4,5,3,3,1,2,0,4,high,0.33,ftp,pFouls,1.98,101.2,27.0
84,Alec Burks,DET,SG,14,11,20,3,8,0.41,3,3,0.48,2,5,0.41,0,2,3,2,2,0,1,0,-5,low,0.67,tpp,pFouls,1.98,97.1,32.0
89,Kentavious Caldwell-Pope,DEN,SG,21,11,31,4,8,0.51,2,2,0.55,2,4,0.49,0,1,2,3,2,2,1,0,6,high,0.67,steals,pFouls,1.96,92.5,30.0
92,Clint Capela,ATL,C,19,10,23,4,7,0.58,2,3,0.52,0,0,0.0,4,5,9,1,2,1,1,1,0,average,0.67,totReb,pFouls,2.08,116.1,29.0
118,Robert Covington,LAC,PF,21,5,17,2,4,0.39,1,1,0.26,1,2,0.27,1,2,3,1,2,1,0,1,3,average,1.0,steals,pFouls,2.01,94.8,32.0
118,Robert Covington,LAC,PF,21,5,17,2,4,0.39,1,1,0.26,1,2,0.27,1,2,3,1,2,1,0,1,3,average,1.0,steals,pFouls,2.01,94.8,32.0
123,Seth Curry,DAL,SG,13,3,9,1,3,0.31,1,1,0.27,0,1,0.16,0,1,1,1,1,1,0,0,0,average,1.0,steals,totReb,1.88,83.9,33.0
124,Stephen Curry,GSW,PG,19,27,31,8,17,0.48,5,6,0.89,5,11,0.44,1,4,4,4,1,1,3,0,-2,average,0.0,ftp,turnovers,1.88,83.9,35.0
136,DeMar DeRozan,CHI,SF,21,20,34,7,16,0.44,5,6,0.83,1,2,0.37,1,2,3,4,2,1,1,1,-7,low,0.67,ftp,pFouls,1.98,99.8,34.0
142,Spencer Dinwiddie,BKN,PG,19,13,29,4,10,0.41,3,3,0.61,2,6,0.38,1,3,3,6,2,0,2,0,4,high,0.33,assists,turnovers,1.98,97.5,30.0
242,Jrue Holiday,BOS,PG,22,12,33,4,10,0.44,1,1,0.53,2,4,0.37,2,5,7,5,2,1,2,1,7,high,0.33,assists,turnovers,1.9,93.0,33.0
243,Justin Holiday,DEN,SF,17,5,16,2,4,0.35,0,0,0.0,1,3,0.33,0,1,2,1,1,1,0,0,4,high,1.0,steals,ftp,1.98,81.6,34.0
246,Richaun Holmes,DAL,F,12,3,11,1,2,0.44,0,1,0.17,0,0,0.0,1,2,4,0,2,0,1,0,-1,average,0.67,fgp,pFouls,2.08,106.6,30.0
248,Al Horford,BOS,C,21,7,26,3,6,0.47,1,1,0.24,1,3,0.36,1,5,6,3,2,0,1,1,5,high,0.67,totReb,pFouls,2.06,108.9,37.0
254,RJ Hunter,CHA,G,3,1,6,0,4,0.05,0,0,0.0,0,2,0.08,0,2,2,0,0,0,0,0,-11,low,1.0,totReb,fgp,1.96,83.9,30.0
261,Kyrie Irving,DAL,PG,16,23,33,9,19,0.45,3,4,0.92,3,7,0.35,1,4,4,6,2,1,1,0,2,average,0.67,assists,pFouls,1.88,88.5,31.0
264,Reggie Jackson,DEN,PG,25,13,25,5,11,0.49,1,1,0.29,2,4,0.43,0,2,2,4,2,1,2,0,1,average,0.33,tpp,turnovers,1.88,94.3,33.0
279,Nikola Jokic,DEN,C,24,27,32,11,19,0.58,4,6,0.7,1,4,0.32,3,9,12,9,3,1,3,1,7,high,0.0,assists,turnovers,2.11,128.8,28.0
281,Damian Jones,CLE,C,14,2,8,1,1,0.3,1,1,0.11,0,0,0.0,1,1,2,0,1,0,1,0,-1,average,0.67,totReb,tpp,2.11,111.1,28.0
283,Derrick Jones Jr.,DAL,SF,21,9,22,3,7,0.44,1,1,0.42,2,4,0.36,1,2,3,1,1,1,1,1,0,average,0.67,steals,assists,1.98,95.3,26.0
286,DeAndre Jordan,DEN,C,1,5,14,2,3,0.61,1,3,0.11,0,0,0.0,1,3,4,2,2,1,1,0,-5,low,0.67,fgp,pFouls,2.11,120.2,35.0
287,Cory Joseph,GSW,PG,1,2,12,1,3,0.2,0,1,0.25,0,2,0.15,0,1,1,2,1,0,0,0,1,average,1.0,assists,fgp,1.9,90.7,32.0
308,Zach LaVine,CHI,SG,1,20,34,7,16,0.44,3,4,0.67,2,7,0.31,0,4,5,3,2,1,2,0,-4,low,0.33,ftp,turnovers,1.96,90.7,28.0
314,Kawhi Leonard,LAC,SF,1,20,32,8,16,0.46,3,4,0.7,2,6,0.42,1,5,5,3,2,2,1,1,7,high,0.67,steals,pFouls,2.01,102.1,32.0
317,Caris LeVert,CLE,SG,1,14,29,5,13,0.41,2,3,0.48,2,5,0.31,0,3,3,4,2,1,2,0,2,average,0.33,assists,turnovers,1.98,93.0,29.0
322,Kevon Looney,GSW,F,1,6,22,2,4,0.58,1,1,0.38,0,0,0.0,3,6,8,3,3,1,1,0,-2,average,0.67,totReb,pFouls,2.06,100.7,27.0
341,Wesley Matthews,ATL,SG,1,2,11,1,2,0.37,0,1,0.12,0,2,0.35,0,1,1,1,1,0,1,0,-2,average,0.67,tpp,totReb,1.93,99.8,37.0
354,Rodney McGruder,GSW,G,1,8,20,3,9,0.33,1,1,1.0,1,6,0.17,2,3,5,0,1,0,0,0,8,high,1.0,ftp,assists,1.93,93.0,32.0
365,Patty Mills,ATL,PG,1,1,8,0,3,0.14,0,0,0.0,0,1,0.3,0,1,1,1,0,0,1,0,-7,low,0.67,tpp,fgp,1.83,81.6,35.0
374,Markieff Morris,DAL,PF,1,3,8,1,4,0.2,0,0,0.25,1,3,0.21,0,0,1,0,0,0,0,0,-4,low,1.0,tpp,fgp,2.06,111.1,34.0
2051,Max Strus,CLE,SG,26,13,33,5,11,0.41,1,1,0.45,3,7,0.35,1,4,5,4,3,1,2,0,2,average,0.5,assists,pFouls,1.96,99.8,27.0
2110,Oshae Brissett,BOS,SF,14,2,13,1,3,0.14,1,2,0.38,0,1,0.05,1,2,3,0,1,0,0,0,0,average,1.0,ftp,fgp,2.01,95.3,25.0
2115,Amir Coffey,LAC,SG,14,2,9,1,2,0.11,1,1,0.31,0,1,0.05,0,1,1,1,1,0,0,0,1,average,1.0,ftp,fgp,2.01,95.3,26.0
2325,Armoni Brooks,BKN,G,10,4,9,2,4,0.34,0,0,0.0,1,3,0.27,0,2,2,0,0,0,0,0,4,high,1.0,tpp,ftp,1.9,88.5,25.0
2392,Dean Wade,CLE,PF,20,5,21,2,4,0.37,0,0,0.12,1,3,0.35,1,3,4,1,2,1,1,0,1,average,0.75,steals,pFouls,2.06,103.4,27.0
2557,Jontay Porter,DET,C,1,2,9,1,2,0.5,0,0,0.0,0,1,0.0,2,0,2,0,1,0,0,2,3,average,1.0,fgp,ftp,2.11,108.9,24.0
2566,LaMelo Ball,CHA,PG,19,23,31,8,18,0.42,3,4,0.78,3,8,0.35,1,4,5,7,3,1,4,0,-3,low,0.0,assists,turnovers,2.01,81.6,22.0
2569,Saddiq Bey,ATL,SF,25,13,29,5,9,0.52,2,2,0.54,2,5,0.4,2,4,6,1,1,1,1,0,2,average,0.75,tpp,assists,2.01,97.5,24.0
2589,Trent Forrest,ATL,G,10,4,12,2,2,0.39,1,1,0.3,0,0,0.0,0,1,1,2,1,0,1,0,-4,low,0.75,assists,tpp,1.93,95.3,25.0
2593,Josh Green,DAL,SG,20,8,25,3,6,0.4,1,1,0.21,1,4,0.41,1,2,3,2,2,1,1,0,1,average,0.75,tpp,pFouls,1.96,90.7,23.0
2599,Killian Hayes,DET,PG,25,10,26,4,9,0.41,1,2,0.51,1,3,0.25,0,2,3,4,2,1,1,1,-4,low,1.0,assists,pFouls,1.96,88.5,22.0
2614,Theo Maledon,CHA,PG,13,4,15,1,5,0.23,1,1,0.22,0,2,0.11,0,1,2,2,1,1,1,0,-4,low,1.0,steals,fgp,1.93,79.4,22.0
2617,Kenyon Martin Jr.,LAC,F,16,3,10,1,3,0.3,0,1,0.16,0,1,0.08,1,1,2,1,1,0,1,0,-1,average,1.0,assists,tpp,1.96,97.5,22.0
2617,Kenyon Martin Jr.,LAC,F,16,3,10,1,3,0.3,0,1,0.16,0,1,0.08,1,1,2,1,1,0,1,0,-1,average,1.0,assists,tpp,1.96,97.5,22.0
2627,Zeke Nnaji,DEN,PF,25,5,12,1,3,0.36,2,2,0.46,0,1,0.11,1,2,3,1,2,0,1,1,-3,low,1.0,ftp,pFouls,2.06,108.9,22.0
2629,Onyeka Okongwu,ATL,PF,26,9,23,3,6,0.58,2,2,0.62,0,1,0.15,2,4,7,2,3,0,1,1,0,average,1.0,totReb,pFouls,2.03,108.9,22.0
2630,Isaac Okoro,CLE,SF,18,7,24,3,6,0.46,1,1,0.32,1,2,0.33,1,2,3,2,2,1,1,0,-1,average,1.0,steals,pFouls,1.96,102.1,22.0
2635,Payton Pritchard,BOS,PG,26,8,21,3,7,0.38,1,1,0.27,2,5,0.33,1,2,3,3,1,1,1,0,4,high,1.0,steals,ftp,1.85,88.5,25.0
2639,Nick Richards,CHA,C,19,9,19,3,4,0.67,3,4,0.72,0,0,0.0,2,5,7,0,3,0,1,1,-6,low,1.0,fgp,pFouls,2.13,111.1,26.0
2647,Lamar Stevens,BOS,PF,10,4,8,2,3,0.38,0,0,0.3,0,1,0.12,1,1,2,0,1,0,1,0,-1,average,1.0,fgp,assists,1.98,104.3,26.0
2648,Isaiah Stewart,DET,C,27,11,30,4,9,0.47,1,2,0.56,1,4,0.37,2,5,7,1,3,0,2,1,-5,low,0.0,totReb,pFouls,2.03,113.4,22.0
2664,Patrick Williams,CHI,PF,29,9,25,3,8,0.38,1,2,0.43,1,3,0.33,1,3,4,1,2,1,1,1,0,average,0.75,steals,pFouls,2.01,97.5,22.0
2666,James Wiseman,DET,C,17,6,12,2,3,0.52,1,2,0.34,0,0,0.06,1,2,4,0,2,0,1,1,-3,low,0.75,fgp,pFouls,2.13,108.9,22.0
2788,Dalano Banton,BOS,G,16,4,12,2,4,0.29,1,1,0.28,0,1,0.06,1,1,2,1,1,0,1,0,-1,average,0.75,ftp,tpp,2.01,92.5,24.0
2792,Brandon Boston Jr.,LAC,SG,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,average,1.0,steals,fgp,1.98,85.3,22.0
2795,Greg Brown III,DAL,PF,1,4,7,2,5,0.4,0,1,0.0,0,1,0.0,2,1,3,0,0,0,0,0,3,average,1.0,fgp,ftp,2.01,93.4,22.0
2800,Sharife Cooper,CLE,PG,2,4,10,2,4,0.42,0,0,0.5,0,2,0.0,0,3,3,4,1,0,2,0,-2,average,0.5,assists,turnovers,1.85,79.8,22.0
2801,Cade Cunningham,DET,PG,26,21,34,8,19,0.41,3,4,0.68,2,6,0.35,0,4,4,7,3,1,4,0,-8,low,0.0,assists,turnovers,1.98,99.8,22.0
2802,Ayo Dosunmu,CHI,SG,27,7,19,3,6,0.44,1,1,0.25,1,2,0.25,1,1,2,2,2,1,1,0,-1,average,0.75,steals,pFouls,1.93,90.7,23.0
2806,Usman Garuba,GSW,PF,2,1,5,0,1,0.5,0,0,0.0,0,0,0.0,0,1,2,0,0,0,0,0,3,average,1.0,fgp,ftp,2.03,103.9,21.0
2812,Sam Hauser,BOS,SF,26,9,23,3,7,0.44,1,1,0.23,3,6,0.43,1,3,4,1,2,1,1,0,3,average,0.75,tpp,pFouls,2.01,98.4,26.0
2816,Bones Hyland,LAC,PG,16,10,17,4,8,0.37,1,2,0.37,1,4,0.21,0,2,2,2,2,1,2,0,1,average,,steals,turnovers,1.88,76.7,23.0
2819,Jalen Johnson,ATL,SF,20,13,27,5,9,0.58,1,2,0.49,1,2,0.4,1,5,6,3,2,1,2,1,3,average,,fgp,turnovers,2.03,99.3,21.0
2827,Jonathan Kuminga,GSW,PF,26,14,22,5,10,0.49,3,4,0.64,1,3,0.24,1,3,4,1,2,1,2,0,2,average,,ftp,turnovers,2.01,102.1,21.0
2835,Evan Mobley,CLE,PF,24,16,32,7,12,0.57,2,3,0.53,0,0,0.08,2,8,10,3,3,1,2,2,1,average,,totReb,pFouls,2.11,97.5,22.0
2836,Moses Moody,GSW,SG,27,9,19,3,7,0.51,1,1,0.4,1,3,0.37,1,2,3,1,1,1,1,0,1,average,,tpp,assists,1.96,95.7,21.0
2839,Filip Petrusev,PHI,PF,7,3,7,1,2,0.41,0,1,0.21,0,0,0.05,1,1,2,1,1,0,0,0,1,average,,fgp,tpp,2.11,102.1,23.0
2839,Filip Petrusev,PHI,PF,7,3,7,1,2,0.41,0,1,0.21,0,0,0.05,1,1,2,1,1,0,0,0,1,average,,fgp,tpp,2.11,102.1,23.0
2839,Filip Petrusev,PHI,PF,7,3,7,1,2,0.41,0,1,0.21,0,0,0.05,1,1,2,1,1,0,0,0,1,average,,fgp,tpp,2.11,102.1,23.0
2840,Jamorko Pickett,DEN,F,2,2,4,0,1,0.5,0,0,0.0,0,0,0.5,0,0,0,0,0,0,1,0,0,average,,tpp,totReb,2.06,93.4,25.0
2844,Neemias Queta,BOS,C,6,7,11,3,4,0.66,1,2,0.51,0,0,0.0,3,2,5,0,2,0,1,0,8,high,,fgp,pFouls,2.13,112.5,24.0
2848,Day'Ron Sharpe,BKN,C,25,7,16,3,5,0.56,2,2,0.44,0,0,0.02,2,4,7,1,2,0,1,1,4,high,,totReb,pFouls,2.06,120.2,22.0
2853,Terry Taylor,CHI,F,9,2,7,1,2,0.29,0,0,0.22,0,0,0.0,1,1,2,1,0,0,1,0,0,average,,assists,tpp,1.96,104.3,24.0
2855,Cam Thomas,BKN,SG,17,22,29,8,18,0.42,4,4,0.84,2,6,0.37,0,3,3,2,2,1,2,0,-1,average,,ftp,turnovers,1.9,95.3,22.0
2856,JT Thor,CHA,F,22,4,17,2,4,0.37,0,1,0.11,1,2,0.26,1,2,3,1,1,0,0,0,-5,low,,tpp,ftp,2.06,92.1,21.0
2861,Trendon Watford,BKN,PF,18,8,15,3,6,0.5,2,2,0.54,0,1,0.22,1,3,4,2,2,0,1,0,2,average,,fgp,pFouls,2.03,107.5,23.0
2862,Joe Wieskamp,DAL,SF,1,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,average,,steals,fgp,1.98,93.0,24.0
2890,A.J. Lawson,DAL,G,7,4,9,2,4,0.41,0,1,0.14,1,2,0.2,0,1,1,0,0,0,0,0,2,average,,fgp,totReb,1.98,81.6,23.0
2921,DJ Steward,BOS,G,3,2,4,1,2,0.25,0,0,0.0,0,1,0.11,0,0,1,0,0,0,1,0,-2,average,,tpp,ftp,1.88,73.9,22.0
3081,Carlik Jones,CHI,G,4,2,11,1,4,0.15,0,0,0.12,0,2,0.06,0,1,1,2,0,0,0,0,-3,low,,assists,fgp,1.85,83.9,25.0
3091,Braxton Key,DEN,F,11,3,8,1,2,0.2,1,1,0.35,0,1,0.0,0,1,2,1,1,0,1,0,0,average,,ftp,fgp,2.03,102.1,26.0
3396,Xavier Moon,LAC,PG,4,9,20,4,10,0.39,0,0,0.0,1,4,0.35,1,2,4,3,1,0,1,0,-6,low,,tpp,ftp,1.88,74.8,28.0
